config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,time
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29/nwq_binary_welded_tree_n29.qasm.preprocessed.new"", omega: 100, layout: One, ",941438,941438,582191,941438,33.093918
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29/nwq_binary_welded_tree_n29.qasm.preprocessed.new"", omega: 200, layout: Dense, ",941438,941438,567564,941438,47.236607
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29/nwq_binary_welded_tree_n29.qasm.preprocessed.new"", omega: 200, layout: One, ",941438,941438,567564,941438,48.605724
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python/grover_n9_from_python.qasm.preprocessed.new"", omega: 50, layout: Dense, ",8968,8968,6704,8968,1.0062389
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python/grover_n9_from_python.qasm.preprocessed.new"", omega: 50, layout: One, ",8968,8968,6704,8968,1.0086712
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python/grover_n9_from_python.qasm.preprocessed.new"", omega: 100, layout: Dense, ",8968,8968,6394,8968,1.1127899
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python/grover_n9_from_python.qasm.preprocessed.new"", omega: 100, layout: One, ",8968,8968,6394,8968,1.1864817
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python/grover_n9_from_python.qasm.preprocessed.new"", omega: 200, layout: Dense, ",8968,8968,6344,8968,1.331211
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python/grover_n9_from_python.qasm.preprocessed.new"", omega: 200, layout: One, ",8968,8968,6344,8968,1.3333755
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python/grover_n11_from_python.qasm.preprocessed.new"", omega: 50, layout: Dense, ",27136,27136,20856,27136,1.8969214
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python/grover_n11_from_python.qasm.preprocessed.new"", omega: 50, layout: One, ",27136,27136,20856,27136,1.8576066
