config,reduced_gates,reduced_depth,time
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",68,68,15.126796
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",553,553,31.308262
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",967,958,76.970856
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",1146,1123,95.84731
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,4.328861
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",408,408,31.366478
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",766,766,16.981125
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",821,817,25.386778
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",1103,1044,67.56401
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",1288,1170,99.283745
"omega: 40, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,3.803625
"omega: 40, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",0,0,4.6916285
"omega: 40, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",0,0,5.4140754
"omega: 40, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",756,756,50.92102
"omega: 40, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",763,763,43.455494
"omega: 40, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",884,856,143.12473
