config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", omega: 100, ",68558,0,27918,0,53,1.5084865,0.6977031,2140
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", omega: 200, ",68558,0,27790,0,52,1.7680272,1.0616035,1021
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", omega: 400, ",68558,0,27758,0,42,2.7965117,2.150341,510
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", omega: 800, ",68558,0,27717,0,40,7.420091,6.6884356,262
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", omega: 50, ",680376,0,300317,0,62,8.7678795,5.243854,43878
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", omega: 100, ",680376,0,296632,0,62,6.207384,3.3104,21396
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", omega: 200, ",680376,0,295700,0,55,5.9403586,3.5066514,10576
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", omega: 400, ",680376,0,295325,0,54,8.30647,6.0683413,5329
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", omega: 800, ",680376,0,295151,0,56,16.67028,14.41476,2715
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", omega: 50, ",5954308,0,2675520,0,75,61.785286,41.461983,383677
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", omega: 100, ",5954308,0,2635886,0,68,40.12004,24.354313,187852
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", omega: 200, ",5954308,0,2623660,0,63,34.89665,23.671091,90158
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", omega: 400, ",5954308,0,2618480,0,58,45.96652,37.669952,44546
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", omega: 800, ",5954308,0,2616233,0,51,74.766525,67.16313,21621
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", omega: 50, ",8476,0,7894,0,20,0.39981574,0.21510854,512
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", omega: 100, ",8476,0,7559,0,20,0.365774,0.17901158,281
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", omega: 200, ",8476,0,7554,0,18,0.4773477,0.31902918,135
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", omega: 400, ",8476,0,7545,0,21,1.3439325,1.0956037,90
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", omega: 800, ",8476,0,7543,0,16,2.8967495,2.7539706,35
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", omega: 50, ",31267,0,31213,0,8,0.16199645,0.109932125,662
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", omega: 100, ",31267,0,30257,0,15,0.3860394,0.2136711,815
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", omega: 200, ",31267,0,30257,0,17,0.6033861,0.39628878,459
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", omega: 400, ",31267,0,30257,0,15,1.0386093,0.86899626,231
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", omega: 800, ",31267,0,30257,0,16,3.1397924,2.9599555,122
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", omega: 50, ",136320,0,127303,0,20,1.4655436,0.90380937,7715
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", omega: 100, ",136320,0,121290,0,22,1.309166,0.73329145,4456
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", omega: 200, ",136320,0,121134,0,25,1.5073528,0.9623533,2212
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", omega: 400, ",136320,0,121041,0,22,2.4687395,1.8588647,1121
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", omega: 800, ",136320,0,120988,0,20,4.2737203,3.7765646,529
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", omega: 50, ",545008,0,509364,0,23,4.629979,3.2879028,30379
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", omega: 100, ",545008,0,484886,0,23,3.9079423,2.4631577,17803
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", omega: 200, ",545008,0,484259,0,24,3.9565551,2.6832855,8848
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", omega: 400, ",545008,0,483891,0,24,5.480962,4.319738,4381
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", omega: 800, ",545008,0,483667,0,25,10.552594,9.385026,2170
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 50, ",111956,0,80087,0,34,1.6558528,0.8709929,6706
